time,realization,lat,lon,experimentVersionNumber,sro
2008-02-01 06:00:00,0,49.75,12.75,0001,0.025749207
2008-03-01 06:00:00,0,49.75,12.75,0001,0.19741058
2008-04-01 06:00:00,0,49.75,12.75,0001,0.14591217
2008-05-01 06:00:00,0,49.75,12.75,0001,0.023841858
2008-06-01 06:00:00,0,49.75,12.75,0001,0.020980835
2008-07-01 06:00:00,0,49.75,12.75,0001,0.024795532
2008-08-01 06:00:00,0,49.75,12.75,0001,0.019073486
2008-09-01 06:00:00,0,49.75,12.75,0001,0.019073486
2008-10-01 06:00:00,0,49.75,12.75,0001,0.02861023
2008-11-01 06:00:00,0,49.75,12.75,0001,0.015258789
2008-12-01 06:00:00,0,49.75,12.75,0001,0.034332275
2009-01-01 06:00:00,0,49.75,12.75,0001,0.008583069
2009-02-01 06:00:00,0,49.75,12.75,0001,0.047683716
2009-03-01 06:00:00,0,49.75,12.75,0001,0.17261505
2009-04-01 06:00:00,0,49.75,12.75,0001,0.032424927
2009-05-01 06:00:00,0,49.75,12.75,0001,0.032424927
2009-06-01 06:00:00,0,49.75,12.75,0001,0.032424927
2009-07-01 06:00:00,0,49.75,12.75,0001,0.16212463
2009-08-01 06:00:00,0,49.75,12.75,0001,0.01335144
2009-09-01 06:00:00,0,49.75,12.75,0001,0.01335144
2009-10-01 06:00:00,0,49.75,12.75,0001,0.019073486
2009-11-01 06:00:00,0,49.75,12.75,0001,0.038146973
2009-12-01 06:00:00,0,49.75,12.75,0001,0.04673004
2010-01-01 06:00:00,0,49.75,12.75,0001,0.0038146973
2010-02-01 06:00:00,0,49.75,12.75,0001,0.058174133
2010-03-01 06:00:00,0,49.75,12.75,0001,0.16212463
2010-04-01 06:00:00,0,49.75,12.75,0001,0.011444092
2010-05-01 06:00:00,0,49.75,12.75,0001,0.0667572
2010-06-01 06:00:00,0,49.75,12.75,0001,0.078201294
2010-07-01 06:00:00,0,49.75,12.75,0001,0.10967255
2010-08-01 06:00:00,0,49.75,12.75,0001,0.27656555
2010-09-01 06:00:00,0,49.75,12.75,0001,0.024795532
2010-10-01 06:00:00,0,49.75,12.75,0001,0.014305115
2010-11-01 06:00:00,0,49.75,12.75,0001,0.060081482
2010-12-01 06:00:00,0,49.75,12.75,0001,0.019073486
2011-01-01 06:00:00,0,49.75,12.75,0001,0.1296997
2011-02-01 06:00:00,0,49.75,12.75,0001,0.017166138
2011-03-01 06:00:00,0,49.75,12.75,0001,0.00667572
2011-04-01 06:00:00,0,49.75,12.75,0001,0.008583069
2011-05-01 06:00:00,0,49.75,12.75,0001,0.00667572
2011-06-01 06:00:00,0,49.75,12.75,0001,0.019073486
2011-07-01 06:00:00,0,49.75,12.75,0001,0.06484985
2011-08-01 06:00:00,0,49.75,12.75,0001,0.09727478
2011-09-01 06:00:00,0,49.75,12.75,0001,0.024795532
2011-10-01 06:00:00,0,49.75,12.75,0001,0.02861023
2011-11-01 06:00:00,0,49.75,12.75,0001,0.0
2011-12-01 06:00:00,0,49.75,12.75,0001,0.07343292
2012-01-01 06:00:00,0,49.75,12.75,0001,0.08678436
2012-02-01 06:00:00,0,49.75,12.75,0001,0.054359436
2012-03-01 06:00:00,0,49.75,12.75,0001,0.011444092
2012-04-01 06:00:00,0,49.75,12.75,0001,0.019073486
2012-05-01 06:00:00,0,49.75,12.75,0001,0.01335144
2012-06-01 06:00:00,0,49.75,12.75,0001,0.03528595
2012-07-01 06:00:00,0,49.75,12.75,0001,0.076293945
2012-08-01 06:00:00,0,49.75,12.75,0001,0.017166138
2012-09-01 06:00:00,0,49.75,12.75,0001,0.009536743
2012-10-01 06:00:00,0,49.75,12.75,0001,0.019073486
2012-11-01 06:00:00,0,49.75,12.75,0001,0.034332275
2012-12-01 06:00:00,0,49.75,12.75,0001,0.1335144
2013-01-01 06:00:00,0,49.75,12.75,0001,0.04673004
2013-02-01 06:00:00,0,49.75,12.75,0001,0.036239624
2013-03-01 06:00:00,0,49.75,12.75,0001,0.05722046
2013-04-01 06:00:00,0,49.75,12.75,0001,0.061035156
2013-05-01 06:00:00,0,49.75,12.75,0001,0.16307831
2013-06-01 06:00:00,0,49.75,12.75,0001,0.2746582
2013-07-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2013-08-01 06:00:00,0,49.75,12.75,0001,0.05722046
2013-09-01 06:00:00,0,49.75,12.75,0001,0.05531311
2013-10-01 06:00:00,0,49.75,12.75,0001,0.019073486
2013-11-01 06:00:00,0,49.75,12.75,0001,0.034332275
2013-12-01 06:00:00,0,49.75,12.75,0001,0.02002716
2014-01-01 06:00:00,0,49.75,12.75,0001,0.011444092
2014-02-01 06:00:00,0,49.75,12.75,0001,0.024795532
2014-03-01 06:00:00,0,49.75,12.75,0001,0.009536743
2014-04-01 06:00:00,0,49.75,12.75,0001,0.025749207
2014-05-01 06:00:00,0,49.75,12.75,0001,0.10204315
2014-06-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2014-07-01 06:00:00,0,49.75,12.75,0001,0.078201294
2014-08-01 06:00:00,0,49.75,12.75,0001,0.14686584
2014-09-01 06:00:00,0,49.75,12.75,0001,0.07915497
2014-10-01 06:00:00,0,49.75,12.75,0001,0.05722046
2014-11-01 06:00:00,0,49.75,12.75,0001,0.016212463
2014-12-01 06:00:00,0,49.75,12.75,0001,0.038146973
2015-01-01 06:00:00,0,49.75,12.75,0001,0.052452087
2015-02-01 06:00:00,0,49.75,12.75,0001,0.016212463
2015-03-01 06:00:00,0,49.75,12.75,0001,0.034332275
2015-04-01 06:00:00,0,49.75,12.75,0001,0.024795532
2015-05-01 06:00:00,0,49.75,12.75,0001,0.017166138
2015-06-01 06:00:00,0,49.75,12.75,0001,0.02861023
2015-07-01 06:00:00,0,49.75,12.75,0001,0.005722046
2015-08-01 06:00:00,0,49.75,12.75,0001,0.01335144
2015-09-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2015-10-01 06:00:00,0,49.75,12.75,0001,0.017166138
2015-11-01 06:00:00,0,49.75,12.75,0001,0.096321106
2015-12-01 06:00:00,0,49.75,12.75,0001,0.022888184
2016-01-01 06:00:00,0,49.75,12.75,0001,0.058174133
2016-02-01 06:00:00,0,49.75,12.75,0001,0.058174133
2016-03-01 06:00:00,0,49.75,12.75,0001,0.045776367
2016-04-01 06:00:00,0,49.75,12.75,0001,0.023841858
2016-05-01 06:00:00,0,49.75,12.75,0001,0.020980835
2016-06-01 06:00:00,0,49.75,12.75,0001,0.11539459
2016-07-01 06:00:00,0,49.75,12.75,0001,0.13923645
2016-08-01 06:00:00,0,49.75,12.75,0001,0.015258789
2016-09-01 06:00:00,0,49.75,12.75,0001,0.017166138
2016-10-01 06:00:00,0,49.75,12.75,0001,0.02670288
2016-11-01 06:00:00,0,49.75,12.75,0001,0.022888184
2016-12-01 06:00:00,0,49.75,12.75,0001,0.011444092
2017-01-01 06:00:00,0,49.75,12.75,0001,0.002861023
2017-02-01 06:00:00,0,49.75,12.75,0001,0.13637543
2017-03-01 06:00:00,0,49.75,12.75,0001,0.05054474
2017-04-01 06:00:00,0,49.75,12.75,0001,0.03528595
2017-05-01 06:00:00,0,49.75,12.75,0001,0.031471252
2017-06-01 06:00:00,0,49.75,12.75,0001,0.015258789
2017-07-01 06:00:00,0,49.75,12.75,0001,0.078201294
2017-08-01 06:00:00,0,49.75,12.75,0001,0.020980835
2017-09-01 06:00:00,0,49.75,12.75,0001,0.020980835
2017-10-01 06:00:00,0,49.75,12.75,0001,0.047683716
2017-11-01 06:00:00,0,49.75,12.75,0001,0.04386902
2017-12-01 06:00:00,0,49.75,12.75,0001,0.060081482
2018-01-01 06:00:00,0,49.75,12.75,0001,0.07724762
2018-02-01 06:00:00,0,49.75,12.75,0001,0.005722046
2018-03-01 06:00:00,0,49.75,12.75,0001,0.036239624
2018-04-01 06:00:00,0,49.75,12.75,0001,0.015258789
2018-05-01 06:00:00,0,49.75,12.75,0001,0.02670288
2018-06-01 06:00:00,0,49.75,12.75,0001,0.011444092
2018-07-01 06:00:00,0,49.75,12.75,0001,0.009536743
2018-08-01 06:00:00,0,49.75,12.75,0001,0.002861023
2018-09-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2018-10-01 06:00:00,0,49.75,12.75,0001,0.005722046
2018-11-01 06:00:00,0,49.75,12.75,0001,0.0038146973
2018-12-01 06:00:00,0,49.75,12.75,0001,0.08869171
2019-01-01 06:00:00,0,49.75,12.75,0001,0.023841858
2019-02-01 06:00:00,0,49.75,12.75,0001,0.049591064
2019-03-01 06:00:00,0,49.75,12.75,0001,0.12111664
2019-04-01 06:00:00,0,49.75,12.75,0001,0.008583069
2019-05-01 06:00:00,0,49.75,12.75,0001,0.038146973
2019-06-01 06:00:00,0,49.75,12.75,0001,0.009536743
2019-07-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2019-08-01 06:00:00,0,49.75,12.75,0001,0.01335144
2019-09-01 06:00:00,0,49.75,12.75,0001,0.019073486
2019-10-01 06:00:00,0,49.75,12.75,0001,0.016212463
2019-11-01 06:00:00,0,49.75,12.75,0001,0.015258789
2019-12-01 06:00:00,0,49.75,12.75,0001,0.017166138
2020-01-01 06:00:00,0,49.75,12.75,0001,0.009536743
2020-02-01 06:00:00,0,49.75,12.75,0001,0.11730194
2020-03-01 06:00:00,0,49.75,12.75,0001,0.031471252
2020-04-01 06:00:00,0,49.75,12.75,0001,0.0047683716
2020-05-01 06:00:00,0,49.75,12.75,0001,0.022888184
2020-06-01 06:00:00,0,49.75,12.75,0001,0.102996826
