time,realization,lat,lon,experimentVersionNumber,tp
1999-01-01 06:00:00,0,51.0,18.0,0001,0.0011520386
1999-02-01 06:00:00,0,51.0,18.0,0001,0.0025672913
1999-03-01 06:00:00,0,51.0,18.0,0001,0.001958847
1999-04-01 06:00:00,0,51.0,18.0,0001,0.0024681091
1999-05-01 06:00:00,0,51.0,18.0,0001,0.0010986328
1999-06-01 06:00:00,0,51.0,18.0,0001,0.004989624
1999-07-01 06:00:00,0,51.0,18.0,0001,0.0024871826
1999-08-01 06:00:00,0,51.0,18.0,0001,0.0011749268
1999-09-01 06:00:00,0,51.0,18.0,0001,0.001613617
1999-10-01 06:00:00,0,51.0,18.0,0001,0.0018558502
1999-11-01 06:00:00,0,51.0,18.0,0001,0.0018539429
1999-12-01 06:00:00,0,51.0,18.0,0001,0.0014762878
2000-01-01 06:00:00,0,51.0,18.0,0001,0.0018577576
2000-02-01 06:00:00,0,51.0,18.0,0001,0.0020523071
2000-03-01 06:00:00,0,51.0,18.0,0001,0.0034275055
2000-04-01 06:00:00,0,51.0,18.0,0001,0.0011672974
2000-05-01 06:00:00,0,51.0,18.0,0001,0.0034370422
2000-06-01 06:00:00,0,51.0,18.0,0001,0.0009613037
2000-07-01 06:00:00,0,51.0,18.0,0001,0.006401062
2000-08-01 06:00:00,0,51.0,18.0,0001,0.0023498535
2000-09-01 06:00:00,0,51.0,18.0,0001,0.0011501312
2000-10-01 06:00:00,0,51.0,18.0,0001,0.0008773804
2000-11-01 06:00:00,0,51.0,18.0,0001,0.0019569397
2000-12-01 06:00:00,0,51.0,18.0,0001,0.0022182465
2001-01-01 06:00:00,0,51.0,18.0,0001,0.0011062622
2001-02-01 06:00:00,0,51.0,18.0,0001,0.0013160706
2001-03-01 06:00:00,0,51.0,18.0,0001,0.0025310516
2001-04-01 06:00:00,0,51.0,18.0,0001,0.001876831
2001-05-01 06:00:00,0,51.0,18.0,0001,0.0019817352
2001-06-01 06:00:00,0,51.0,18.0,0001,0.0034656525
2001-07-01 06:00:00,0,51.0,18.0,0001,0.0053958893
2001-08-01 06:00:00,0,51.0,18.0,0001,0.0023517609
2001-09-01 06:00:00,0,51.0,18.0,0001,0.0037269592
2001-10-01 06:00:00,0,51.0,18.0,0001,0.0009326935
2001-11-01 06:00:00,0,51.0,18.0,0001,0.0017414093
2001-12-01 06:00:00,0,51.0,18.0,0001,0.0017662048
2002-01-01 06:00:00,0,51.0,18.0,0001,0.0012340546
2002-02-01 06:00:00,0,51.0,18.0,0001,0.0027866364
2002-03-01 06:00:00,0,51.0,18.0,0001,0.0009880066
2002-04-01 06:00:00,0,51.0,18.0,0001,0.0014095306
2002-05-01 06:00:00,0,51.0,18.0,0001,0.0020198822
2002-06-01 06:00:00,0,51.0,18.0,0001,0.0021381378
2002-07-01 06:00:00,0,51.0,18.0,0001,0.0034656525
2002-08-01 06:00:00,0,51.0,18.0,0001,0.0015850067
2002-09-01 06:00:00,0,51.0,18.0,0001,0.0022888184
2002-10-01 06:00:00,0,51.0,18.0,0001,0.0027313232
2002-11-01 06:00:00,0,51.0,18.0,0001,0.0016555786
2002-12-01 06:00:00,0,51.0,18.0,0001,0.0009021759
2003-01-01 06:00:00,0,51.0,18.0,0001,0.0016288757
2003-02-01 06:00:00,0,51.0,18.0,0001,0.00039291382
2003-03-01 06:00:00,0,51.0,18.0,0001,0.0008773804
2003-04-01 06:00:00,0,51.0,18.0,0001,0.0013847351
2003-05-01 06:00:00,0,51.0,18.0,0001,0.0021362305
2003-06-01 06:00:00,0,51.0,18.0,0001,0.0009536743
2003-07-01 06:00:00,0,51.0,18.0,0001,0.0031261444
2003-08-01 06:00:00,0,51.0,18.0,0001,0.001039505
2003-09-01 06:00:00,0,51.0,18.0,0001,0.000995636
2003-10-01 06:00:00,0,51.0,18.0,0001,0.002204895
2003-11-01 06:00:00,0,51.0,18.0,0001,0.00084495544
2003-12-01 06:00:00,0,51.0,18.0,0001,0.002155304
2004-01-01 06:00:00,0,51.0,18.0,0001,0.0016489029
2004-02-01 06:00:00,0,51.0,18.0,0001,0.0024585724
2004-03-01 06:00:00,0,51.0,18.0,0001,0.0017375946
2004-04-01 06:00:00,0,51.0,18.0,0001,0.0018100739
2004-05-01 06:00:00,0,51.0,18.0,0001,0.0021533966
2004-06-01 06:00:00,0,51.0,18.0,0001,0.0020618439
2004-07-01 06:00:00,0,51.0,18.0,0001,0.0017299652
2004-08-01 06:00:00,0,51.0,18.0,0001,0.0016803741
2004-09-01 06:00:00,0,51.0,18.0,0001,0.001045227
2004-10-01 06:00:00,0,51.0,18.0,0001,0.001499176
2004-11-01 06:00:00,0,51.0,18.0,0001,0.002544403
2004-12-01 06:00:00,0,51.0,18.0,0001,0.0011882782
2005-01-01 06:00:00,0,51.0,18.0,0001,0.0021686554
2005-02-01 06:00:00,0,51.0,18.0,0001,0.0022964478
2005-03-01 06:00:00,0,51.0,18.0,0001,0.0010223389
2005-04-01 06:00:00,0,51.0,18.0,0001,0.0011177063
2005-05-01 06:00:00,0,51.0,18.0,0001,0.0024700165
2005-06-01 06:00:00,0,51.0,18.0,0001,0.0014915466
2005-07-01 06:00:00,0,51.0,18.0,0001,0.0025615692
2005-08-01 06:00:00,0,51.0,18.0,0001,0.0024223328
2005-09-01 06:00:00,0,51.0,18.0,0001,0.0010509491
2005-10-01 06:00:00,0,51.0,18.0,0001,0.0002193451
2005-11-01 06:00:00,0,51.0,18.0,0001,0.0013179779
2005-12-01 06:00:00,0,51.0,18.0,0001,0.0039863586
2006-01-01 06:00:00,0,51.0,18.0,0001,0.0010795593
2006-02-01 06:00:00,0,51.0,18.0,0001,0.0014896393
2006-03-01 06:00:00,0,51.0,18.0,0001,0.00141716
2006-04-01 06:00:00,0,51.0,18.0,0001,0.0020122528
2006-05-01 06:00:00,0,51.0,18.0,0001,0.0016975403
2006-06-01 06:00:00,0,51.0,18.0,0001,0.0020065308
2006-07-01 06:00:00,0,51.0,18.0,0001,0.0012588501
2006-08-01 06:00:00,0,51.0,18.0,0001,0.003786087
2006-09-01 06:00:00,0,51.0,18.0,0001,0.001033783
2006-10-01 06:00:00,0,51.0,18.0,0001,0.001821518
2006-11-01 06:00:00,0,51.0,18.0,0001,0.002462387
2006-12-01 06:00:00,0,51.0,18.0,0001,0.0010623932
2007-01-01 06:00:00,0,51.0,18.0,0001,0.0033740997
2007-02-01 06:00:00,0,51.0,18.0,0001,0.0020399094
2007-03-01 06:00:00,0,51.0,18.0,0001,0.0023155212
2007-04-01 06:00:00,0,51.0,18.0,0001,0.00037002563
2007-05-01 06:00:00,0,51.0,18.0,0001,0.0019302368
2007-06-01 06:00:00,0,51.0,18.0,0001,0.003107071
2007-07-01 06:00:00,0,51.0,18.0,0001,0.003353119
2007-08-01 06:00:00,0,51.0,18.0,0001,0.0026111603
2007-09-01 06:00:00,0,51.0,18.0,0001,0.002532959
2007-10-01 06:00:00,0,51.0,18.0,0001,0.0011024475
2007-11-01 06:00:00,0,51.0,18.0,0001,0.0022335052
2007-12-01 06:00:00,0,51.0,18.0,0001,0.0010662079
2008-01-01 06:00:00,0,51.0,18.0,0001,0.0019760132
2008-02-01 06:00:00,0,51.0,18.0,0001,0.00091171265
2008-03-01 06:00:00,0,51.0,18.0,0001,0.0021915436
2008-04-01 06:00:00,0,51.0,18.0,0001,0.0022029877
2008-05-01 06:00:00,0,51.0,18.0,0001,0.0023403168
2008-06-01 06:00:00,0,51.0,18.0,0001,0.0012435913
2008-07-01 06:00:00,0,51.0,18.0,0001,0.002998352
2008-08-01 06:00:00,0,51.0,18.0,0001,0.0028820038
2008-09-01 06:00:00,0,51.0,18.0,0001,0.0013561249
2008-10-01 06:00:00,0,51.0,18.0,0001,0.0017852783
2008-11-01 06:00:00,0,51.0,18.0,0001,0.0015163422
2008-12-01 06:00:00,0,51.0,18.0,0001,0.0011997223
2009-01-01 06:00:00,0,51.0,18.0,0001,0.0013341904
2009-02-01 06:00:00,0,51.0,18.0,0001,0.0022392273
2009-03-01 06:00:00,0,51.0,18.0,0001,0.0021781921
2009-04-01 06:00:00,0,51.0,18.0,0001,0.00026130676
2009-05-01 06:00:00,0,51.0,18.0,0001,0.0024776459
2009-06-01 06:00:00,0,51.0,18.0,0001,0.004518509
2009-07-01 06:00:00,0,51.0,18.0,0001,0.0032653809
2009-08-01 06:00:00,0,51.0,18.0,0001,0.0013542175
2009-09-01 06:00:00,0,51.0,18.0,0001,0.0007686615
2009-10-01 06:00:00,0,51.0,18.0,0001,0.002811432
2009-11-01 06:00:00,0,51.0,18.0,0001,0.0013580322
2009-12-01 06:00:00,0,51.0,18.0,0001,0.0016670227
2010-01-01 06:00:00,0,51.0,18.0,0001,0.0017242432
2010-02-01 06:00:00,0,51.0,18.0,0001,0.0009613037
2010-03-01 06:00:00,0,51.0,18.0,0001,0.0018424988
2010-04-01 06:00:00,0,51.0,18.0,0001,0.0014648438
2010-05-01 06:00:00,0,51.0,18.0,0001,0.005361557
2010-06-01 06:00:00,0,51.0,18.0,0001,0.001783371
2010-07-01 06:00:00,0,51.0,18.0,0001,0.0042362213
2010-08-01 06:00:00,0,51.0,18.0,0001,0.0031051636
2010-09-01 06:00:00,0,51.0,18.0,0001,0.0040359497
2010-10-01 06:00:00,0,51.0,18.0,0001,0.0003452301
2010-11-01 06:00:00,0,51.0,18.0,0001,0.0039367676
2010-12-01 06:00:00,0,51.0,18.0,0001,0.0025615692
2011-01-01 06:00:00,0,51.0,18.0,0001,0.0014419556
2011-02-01 06:00:00,0,51.0,18.0,0001,0.00065231323
2011-03-01 06:00:00,0,51.0,18.0,0001,0.0013046265
2011-04-01 06:00:00,0,51.0,18.0,0001,0.0009403229
2011-05-01 06:00:00,0,51.0,18.0,0001,0.001657486
2011-06-01 06:00:00,0,51.0,18.0,0001,0.0034008026
2011-07-01 06:00:00,0,51.0,18.0,0001,0.0041618347
2011-08-01 06:00:00,0,51.0,18.0,0001,0.002401352
2011-09-01 06:00:00,0,51.0,18.0,0001,0.0016098022
2011-10-01 06:00:00,0,51.0,18.0,0001,0.0016174316
2011-11-01 06:00:00,0,51.0,18.0,0001,4.005432e-05
2011-12-01 06:00:00,0,51.0,18.0,0001,0.0020484924
2012-01-01 06:00:00,0,51.0,18.0,0001,0.0026779175
2012-02-01 06:00:00,0,51.0,18.0,0001,0.001947403
2012-03-01 06:00:00,0,51.0,18.0,0001,0.0009822845
2012-04-01 06:00:00,0,51.0,18.0,0001,0.0010528564
2012-05-01 06:00:00,0,51.0,18.0,0001,0.0010299683
2012-06-01 06:00:00,0,51.0,18.0,0001,0.00340271
2012-07-01 06:00:00,0,51.0,18.0,0001,0.0020885468
2012-08-01 06:00:00,0,51.0,18.0,0001,0.0027275085
2012-09-01 06:00:00,0,51.0,18.0,0001,0.0021705627
2012-10-01 06:00:00,0,51.0,18.0,0001,0.0017871857
2012-11-01 06:00:00,0,51.0,18.0,0001,0.0010566711
2012-12-01 06:00:00,0,51.0,18.0,0001,0.0008659363
2013-01-01 06:00:00,0,51.0,18.0,0001,0.0024642944
2013-02-01 06:00:00,0,51.0,18.0,0001,0.0016040802
2013-03-01 06:00:00,0,51.0,18.0,0001,0.0021781921
2013-04-01 06:00:00,0,51.0,18.0,0001,0.0018520355
2013-05-01 06:00:00,0,51.0,18.0,0001,0.003484726
2013-06-01 06:00:00,0,51.0,18.0,0001,0.004201889
2013-07-01 06:00:00,0,51.0,18.0,0001,0.0011024475
2013-08-01 06:00:00,0,51.0,18.0,0001,0.0016002655
2013-09-01 06:00:00,0,51.0,18.0,0001,0.0033359528
2013-10-01 06:00:00,0,51.0,18.0,0001,0.0007572174
2013-11-01 06:00:00,0,51.0,18.0,0001,0.0013103485
2013-12-01 06:00:00,0,51.0,18.0,0001,0.00092697144
2014-01-01 06:00:00,0,51.0,18.0,0001,0.0015983582
2014-02-01 06:00:00,0,51.0,18.0,0001,0.0002593994
2014-03-01 06:00:00,0,51.0,18.0,0001,0.0017375946
2014-04-01 06:00:00,0,51.0,18.0,0001,0.0016040802
2014-05-01 06:00:00,0,51.0,18.0,0001,0.0038795471
2014-06-01 06:00:00,0,51.0,18.0,0001,0.0021648407
2014-07-01 06:00:00,0,51.0,18.0,0001,0.0047855377
2014-08-01 06:00:00,0,51.0,18.0,0001,0.0023460388
2014-09-01 06:00:00,0,51.0,18.0,0001,0.0034332275
2014-10-01 06:00:00,0,51.0,18.0,0001,0.0016040802
2014-11-01 06:00:00,0,51.0,18.0,0001,0.0008354187
2014-12-01 06:00:00,0,51.0,18.0,0001,0.001531601
2015-01-01 06:00:00,0,51.0,18.0,0001,0.0018596649
2015-02-01 06:00:00,0,51.0,18.0,0001,0.0006580353
2015-03-01 06:00:00,0,51.0,18.0,0001,0.001619339
2015-04-01 06:00:00,0,51.0,18.0,0001,0.0010166168
2015-05-01 06:00:00,0,51.0,18.0,0001,0.0011100769
2015-06-01 06:00:00,0,51.0,18.0,0001,0.002248764
2015-07-01 06:00:00,0,51.0,18.0,0001,0.0014152527
2015-08-01 06:00:00,0,51.0,18.0,0001,0.0009498596
2015-09-01 06:00:00,0,51.0,18.0,0001,0.0016746521
2015-10-01 06:00:00,0,51.0,18.0,0001,0.0011825562
2015-11-01 06:00:00,0,51.0,18.0,0001,0.0022716522
2015-12-01 06:00:00,0,51.0,18.0,0001,0.0010929108
